 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-11196920.81,4518260.759,334,89
-11194515.09,4533235.525,335,151
-11188195.03,4519684.766,335,150
-11201618.94,4535005.634,335,193
-11187911.73,4535525.682,335,182
-11189724.01,4528118.738,335,138
-11188831.56,4527471.848,335,135
-11200029.41,4547788.587,335,68
-11194256.82,4532467.376,340,162
-11195155.28,4523245.702,340,152
-11167704.79,4507932.082,340,
-11203133.44,4520939.131,340,175
-11193746.87,4532728.107,343,122
-11190225.17,4530672.53,345,142
-11198764.04,4547785.066,345,99
-11198530.16,4545241.301,349,170
-11195785.24,4522480.675,350,123
-11195526.09,4511497.862,352,190
-11189710.54,4523516.179,352,120
-11192980.55,4533765.893,353,133
-11195019.25,4531438.859,353,109
-11190476.75,4530420.567,355,99
-11191727.09,4524283.811,355,180
-11198317.76,4510982.657,355,210
-11195529.54,4531180.41,355,181
-11191227.15,4529143.976,358,120
-11196555.13,4533475.039,360,123
-11199079.3,4509707.032,360,196
-11197827.17,4533985.868,360,200
-11199838.38,4522726.686,360,178
-11205246.95,4571462.433,363,143
-11193748.65,4533499.932,363,86
-11194504.51,4508429.037,365,171
-11200844.6,4505883.054,365,142
-11198838.62,4533214.429,365,180
-11199852.86,4535013.511,367,205
-11193879.67,4511113.035,368,111
-11194766.89,4511241.59,370,123
-11196029.14,4513028.331,370,204
-11191723.3,4530160.878,370,150
-11194000.23,4525308.813,372,136
-11190231.85,4525560.371,373,167
-11200597.03,4514302.114,375,145
-11202378.69,4512003.69,375,252
-11198954.28,4523365.695,375,142
-11204402.37,4514815.096,380,162
-11200355.02,4533734.67,380,203
-11192725.63,4528887.551,380,246
-11201864.18,4517112.032,380,227
-11195273.51,4530927.029,380,283
-11199591.25,4523745.353,380,190
-11194502.95,4526080.933,381,131
-11190978.69,4525051.499,382,145
-11198827.83,4530393.431,383,140
-11192231.37,4510469.582,384,131
-11195521.75,4528878.554,388,231
-11197814.71,4527067.879,388,165
-11199322.97,4507405.407,388,152
-11196800.92,4529638.707,388,203
-11196290.97,4525287.873,390,161
-11188683.5,4508940.048,390,125
-11204400.26,4515581.528,390,238
-11199329.99,4512513.612,390,215
-11193743.64,4508426.933,390,204
-11200356.02,4534504.881,391,210
-11190220.16,4510986.586,393,191
-11198074.08,4531802.358,394,124
-11204393.69,4522843.16,394,142
-11201108.09,4531411.721,395,136
-11203384.8,4516092.186,395,165
-11193355.92,4528253.266,395,170
-11198068.18,4523749.849,395,196
-11202373.46,4533200.365,396,197
-11202374.8,4534228.493,396,228
-11188169.99,4506896.154,397,143
-11203380.35,4523483.722,397,116
-11202376.91,4510979.85,400,159
-11203386.47,4529861.407,400,216
-11201099.3,4518899.775,402,211
-11201361.46,4530896.798,403,181
-11196039.5,4523751.676,405,170
-11201615.38,4532950.451,405,220
-11189187.45,4507660.884,405,232
-11191465.82,4507402.18,408,205
-11197972.67,4520290.719,408,147
-11194244.13,4526849.174,408,121
-11198068.18,4530397.368,410,124
-11200089.08,4514046.755,410,155
-11199080.19,4529623.944,410,185
-11204399.81,4520427.956,410,205
-11197312.99,4531934.121,411,168
-11199331.1,4511747.124,415,240
-11198309.19,4507403.723,419,225
-11203381.24,4531651.614,420,219
-11200347.67,4530389.916,420,242
-11197561.23,4509450.663,420,246
-11198068.29,4509451.084,420,250
-11201107.54,4512257.735,424,165
-11203008.54,4537674.234,425,132
-11202875.18,4523485.408,425,122
-11202879.52,4530886.956,426,175
-11190207.58,4506640.976,428,235
-11201367.8,4536542.081,430,128
-11204012.86,4531008.442,431,224
-11204407.16,4513281.98,440,286
-11201868.18,4530893.424,442,183
-11201364.02,4529101.519,443,143
-11200732.06,4528205.752,446,156
-11199335.33,4528596.27,450,158
-11195144.15,4505622.57,450,157
-11199846.4,4525015.804,452,187
-11199327.76,4508683.838,453,160
-11179308.84,4526088.381,455,206
-11203376.67,4541106.616,461,110
-11175016.7,4526876.864,462,155
-11203392.48,4513792.245,463,225
-11202377.8,4514047.036,468,212
-11202375.13,4526547.127,468,233
-11198319.99,4528857.045,476,161
-11203373.56,4541360.807,480,160
-11203392.37,4528331.425,482,158
-11204385.79,4542111.735,501,141
-11201960.13,4542772.062,513,94
-11200094.53,4529620.57,514,244
-11204398.92,4518900.056,537,231
-11204135.87,4532156.167,540,223
-11204399.81,4529096.458,545,
-11198069.07,4527066.614,545,222
-11194259.27,4524791.381,545,274
-11204552.76,4527527.23,581,266
-11174971.39,4554003.598,650,203
